Company,Market cap,Revenue,Sector
A2A,4826.657304,17346351.25,Electric Utilities
ABITARE IN,157.2342005,33387.43421,Real Estate Services
ACEA,3295.299173,4505774.369,Multiline Utilities
AEFFE,164.8823306,338272.691,Apparel & Accessories
AEROP GUGL MARCO,314.177981,84823.50864,Airport Operators & Services
ALERION CLEAN POWER,1392.606721,205819.8695,Independent Power Producers
ALGOWATT,24.39909214,16581,Software
ALKEMY,76.05191057,99393.04223,Advertising & Marketing
AMPLIFON,7689.67977,2033436.344,"Medical Equipment, Supplies & Distribution"
ANIMA HOLDING,1407.884444,1119169.048,Investment Management & Fund Operators
ANTARES VISION,620.5424661,201468.2111,Industrial Machinery & Equipment
AQUAFIL,245.985664,626777.737,Textiles & Leather Goods
ARISTON HOLDING,1021.209981,2221116.123,Electrical Components & Equipment
ASCOPIAVE,710.9740515,149253.4184,Natural Gas Utilities
AUTOSTRADE MERIDIONALI,112.3505014,54933.04223,Construction & Engineering
AVIO,287.7525881,345686.2841,Aerospace & Defense
AZIMUT HOLDING,2986.670271,1399455.599,Investment Management & Fund Operators
BANCA GENERALI,3782.048238,1211866.509,Banks
BANCA IFIS,776.0278726,655495.3512,Banks
BANCA MEDIOLANUM,5891.541138,4048019.276,Banks
BANCA MONTE DEI PASCHI,1620.601463,3870101.63,Banks
BANCA SISTEMA,139.4217344,130502.0326,Banks
BANCO BPM,4728.865407,5046544.05,Banks
BASICNET,294.2987669,277104.7889,Apparel & Accessories Retailers
BASTOGI,84.39837398,109092.9309,"Real Estate Rental, Development & Operations"
BANCA PPO.DI SONDRIO,1681.502805,1206429.361,Banks
BANCA PROFILO,143.2784824,72635.28407,Banks
BEEWIZE,10.13203252,5246.758157,Advertising & Marketing
BEGHELLI,67.32401084,146983.4933,Electrical Components & Equipment
BFF BANK,1416.656965,422619.8426,Corporate Financial Services
BIALETTI INDUSTRIE,41.93727642,150091.0403,"Appliances, Tools & Housewares"
BIESSE,501.3720867,782235.0077,Industrial Machinery & Equipment
BIOERA,2.57699187,875.6046065,Food Processing
BORGOSESIA,31.80890244,18344.28599,Investment Management & Fund Operators
BPER BANCA,2871.805691,4229680.564,Banks
FRENI BREMBO,3792.835772,3202466.365,"Auto, Truck & Motorcycle Parts"
BRIOSCHI SVILUPPO IMMBL,63.62838753,87352.28215,"Real Estate Rental, Development & Operations"
BRUNELLO CUCINELLI,3960.13645,815744.3359,Apparel & Accessories
BUZZI,3944.066992,3720007.2,Construction Materials
CAIRO COMMUNICATION,231.8247154,1067356.43,Advertising & Marketing
CALEFFI,17.63107046,60036.43954,Apparel & Accessories
CALTAGIRONE,460.8791463,1734277.117,Construction Materials
DAVIDE CAMPARI MILANO,12581.89653,2434646.257,Distillers & Wineries
CAREL,2254.368076,482515.5816,Electronic Equipment & Parts
CELLULARLINE,81.12317073,124083.5221,Computer & Electronics Retailers
CEMBRE,471.2581707,182784.8273,Electrical Components & Equipment
CEMENTIR HOLDING,1213.061545,1541191.01,Construction Materials
CENTRALE DEL LATTE D'ITALIA,41.32292683,296156.9597,Food Processing
CIA,6.573807588,331.4107486,Real Estate Services
COMPAGNIE INDUSTRIALI RIUNITE SHS,532.4464634,2107924.468,"Auto, Truck & Motorcycle Parts"
CIVITA  VI SYSTEMS,120.6599123,29556.23417,Aerospace & Defense
CLASS EDITORI,16.9101897,69348.77927,Consumer Publishing
CNH INDUSTRIAL,18375.05813,19394736.55,Heavy Machinery & Vehicles
CONAFI,13.97733062,2789.516315,Consumer Lending
CREDITO EMILIANO,2106.507927,2209535.62,Banks
CSP INTERNATIONAL,15.11785908,92592.42226,Apparel & Accessories
CY4GATE SPA,189.2713686,35514.46833,Software
D'AMICO INTL.SHIP.,281.4019512,334260.4127,Oil & Gas Transportation Services
DANIELI,906.1210163,3513456.194,Industrial Machinery & Equipment
DATALOGIC,678.3156233,627524.5701,Office Equipment
DE LONGHI,3926.072547,3190070.608,"Appliances, Tools & Housewares"
DIASORIN,7535.110908,1299277.493,"Medical Equipment, Supplies & Distribution"
DIGITAL BROS,336.4742683,129859.5853,Software
DIGITAL VALUE,697.5602168,630900.7908,IT Services & Consulting
DOVALUE,588.5978184,562464.643,Corporate Financial Services
EEMS ITALIA,16.22447154,669.7120921,Natural Gas Utilities
EL EN,971.5105285,622393.4395,Advanced Medical Equipment & Technology
ELICA,190.8941192,544926.5125,"Appliances, Tools & Housewares"
EMAK,227.2886721,596994.2783,Heavy Machinery & Vehicles
ENAV,2146.460149,852357.3244,Airport Operators & Services
ENEL,65126.80165,109829028.8,Electric Utilities
ENERVIT,60.15692412,70516.41075,Food Processing
ENI,43819.73501,104489817.7,Integrated Oil & Gas
EQUITA GROUP,178.2417073,90234.61228,Investment Banking & Brokerage Services
ERG,4146.159322,876322.2687,Independent Power Producers
ESPRINET,471.5081436,4687562.01,Computer Hardware
EUROGROUP LAMI  TIONS,487.6589231,703725.6507,Heavy Electrical Equipment
EUROTECH,136.7112331,78676.1382,Computer Hardware
EXPRIVIA,80.6047561,176287.8618,Software
FERRARI,43430.79481,4682282.868,Auto & Truck Manufacturers
FERRETTI (HKG),7486.194862,8675220.956,Recreational Products
FIDIA,9.844891599,24100.99232,Industrial Machinery & Equipment
FIERA MILANO,218.728523,174933.62,Business Support Services
FILA,372.553252,708822.1843,Business Support Supplies
FINCANTIERI,1008.811111,7195227.678,Shipbuilding
FINE FOODS & PHARMACEUTICALS NTM,232.0679946,199732.8599,Food Processing
FINECOBANK SPA,8536.633672,1335052.574,Banks
FNM,226.3104743,633352.6852,"Passenger Transportation, Ground & Sea"
LOTTOMATICA GROUP,2197.634621,1167687.8,Casinos & Gaming
GAROFALO HEALTH CARE,414.581748,296281.0921,Healthcare Facilities & Services
GAS PLUS,122.5457046,159938.0115,Oil & Gas Exploration and Production
GEFRAN,132.4740786,147354.2649,Electronic Equipment & Parts
GEOX,236.6409756,672094.501,Footwear
GEQUITY,2.392682927,3860.190019,Investment Holding Companies
ASSICURAZIONI GENERALI,27430.00862,88699500.96,Life & Health Insurance
GIGLIO GROUP,30.95892954,37417.58541,Diversified Industrial Goods Wholesalers
GPI,258.4047696,340353.3397,Software
AMBIENTHESIS,108.0092818,161025.3474,Environmental Services & Equipment
GVS,1580.354106,362811.0288,"Medical Equipment, Supplies & Distribution"
HERA,4532.107575,15309507.29,Multiline Utilities
GRANDI VIAGGI,45.46143631,39894.88679,Leisure & Recreation
IMMOBILIARE GRDE. DTBZ. SO.DI INVM.IMMB.,378.5916667,151988.4798,Commercial REITs
IL SOLE 24 ORE,28.49720867,207542.8119,Consumer Publishing
ILLIMITY BANK,742.3890244,271345.6545,Banks
IMMSI,157.350271,1917449.735,Auto & Truck Manufacturers
INDUSTRIE DE NORA,774.6369189,734124.6027,Industrial Machinery & Equipment
INTERCOS,1283.589483,754502.6468,Personal Products
INTERPUMP GROUP,5125.552886,1840654.885,Industrial Machinery & Equipment
INTESA SANPAOLO,42671.48264,27859706.33,Banks
INFRASTRUTTURE WIRELESS ITALIANE SPA NPV,9711.104363,819005.3935,Integrated Telecommunications Services
IREN,2738.520813,6245938.774,Multiline Utilities
IT WAY,15.2401626,45172.58349,IT Services & Consulting
ITALGAS,4446.055556,2140506.647,Natural Gas Utilities
ITALIAN DESIGN BRAND SPA,286.9165152,171774.4165,Home Furnishings
