NAME,TRBC INDUSTRY NAME
A2A,Electric Utilities
ABITARE IN,Real Estate Services
ACEA,Multiline Utilities
AEFFE,Apparel & Accessories
AEROP GUGL MARCO,Airport Operators & Services
ALERION CLEAN POWER,Independent Power Producers
ALGOWATT,Software
ALKEMY,Advertising & Marketing
AMPLIFON,"Medical Equipment, Supplies & Distribution"
ANIMA HOLDING,Investment Management & Fund Operators
ANTARES VISION,Industrial Machinery & Equipment
AQUAFIL,Textiles & Leather Goods
ARISTON HOLDING,Electrical Components & Equipment
ASCOPIAVE,Natural Gas Utilities
AUTOSTRADE MERIDIONALI,Construction & Engineering
AVIO,Aerospace & Defense
AZIMUT HOLDING,Investment Management & Fund Operators
BANCA GENERALI,Banks
BANCA IFIS,Banks
BANCA MEDIOLANUM,Banks
BANCA MONTE DEI PASCHI,Banks
BANCA SISTEMA,Banks
BANCO BPM,Banks
BASICNET,Apparel & Accessories Retailers
BASTOGI,"Real Estate Rental, Development & Operations"
BANCA PPO.DI SONDRIO,Banks
BANCA PROFILO,Banks
BEEWIZE,Advertising & Marketing
BEGHELLI,Electrical Components & Equipment
BFF BANK,Corporate Financial Services
BIALETTI INDUSTRIE,"Appliances, Tools & Housewares"
BIESSE,Industrial Machinery & Equipment
BIOERA,Food Processing
BORGOSESIA,Investment Management & Fund Operators
BPER BANCA,Banks
FRENI BREMBO,"Auto, Truck & Motorcycle Parts"
BRIOSCHI SVILUPPO IMMBL,"Real Estate Rental, Development & Operations"
BRUNELLO CUCINELLI,Apparel & Accessories
BUZZI,Construction Materials
CAIRO COMMUNICATION,Advertising & Marketing
CALEFFI,Apparel & Accessories
CALTAGIRONE,Construction Materials
DAVIDE CAMPARI MILANO,Distillers & Wineries
CAREL,Electronic Equipment & Parts
CELLULARLINE,Computer & Electronics Retailers
CEMBRE,Electrical Components & Equipment
CEMENTIR HOLDING,Construction Materials
CENTRALE DEL LATTE D'ITALIA,Food Processing
CIA,Real Estate Services
COMPAGNIE INDUSTRIALI RIUNITE SHS,"Auto, Truck & Motorcycle Parts"
CIVITANAVI SYSTEMS,Aerospace & Defense
CLASS EDITORI,Consumer Publishing
CNH INDUSTRIAL,Heavy Machinery & Vehicles
CONAFI,Consumer Lending
CREDITO EMILIANO,Banks
CSP INTERNATIONAL,Apparel & Accessories
CY4GATE SPA,Software
D'AMICO INTL.SHIP.,Oil & Gas Transportation Services
DANIELI,Industrial Machinery & Equipment
DATALOGIC,Office Equipment
DE LONGHI,"Appliances, Tools & Housewares"
DIASORIN,"Medical Equipment, Supplies & Distribution"
DIGITAL BROS,Software
DIGITAL VALUE,IT Services & Consulting
DOVALUE,Corporate Financial Services
EEMS ITALIA,Natural Gas Utilities
EL EN,Advanced Medical Equipment & Technology
ELICA,"Appliances, Tools & Housewares"
EMAK,Heavy Machinery & Vehicles
ENAV,Airport Operators & Services
ENEL,Electric Utilities
ENERVIT,Food Processing
ENI,Integrated Oil & Gas
NA,NA
EQUITA GROUP,Investment Banking & Brokerage Services
ERG,Independent Power Producers
ESPRINET,Computer Hardware
EUROGROUP LAMINATIONS,Heavy Electrical Equipment
